CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
AJWA GROUP OF COMPANIES LIMITED,15325936,,,63 WHITBREAD ROAD,,GREATER LONDON,,UNITED KINGDOM,SE4 2BD,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47421 - Retail sale of mobile telephones,,,,0,0,http://business.data.gov.uk/id/company/15325936,,,,,,,,,,,,,,,,,,,,,17/12/2024,
AKASH ADHD LTD,15325446,,,10 THE FAIRWAYS,,ABERDARE,,WALES,CF44 6WY,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",,,,0,0,http://business.data.gov.uk/id/company/15325446,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALEXANDRA LAW FIRM LTD,15325381,,,8 ENNERDALE CLOSE,,KETTERING,,ENGLAND,NN16 8UQ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,64922 - Activities of mortgage finance companies,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,82990 - Other business support service activities n.e.c.,85600 - Educational support services,0,0,http://business.data.gov.uk/id/company/15325381,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALI HAMZA KHAN LTD,15325559,,,267 WALWORTH ROAD,,LONDON,,ENGLAND,SE17 1RL,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/15325559,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALICIAMINHAHA LTD,15325538,,,75 COLLEY MOOR LEYS LANE,,NOTTINGHAM,,ENGLAND,NG11 8JD,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/15325538,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALISON RIGG (PROPERTY) LTD,15325769,,,3 MELLOR ROAD,CHEADLE HULME,CHEADLE,CHESHIRE,ENGLAND,SK8 5AT,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15325769,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALL TYPES OF STITCHING LTD,15325550,,,72 NORTHFIELD ROAD,,HOUNSLOW,,UNITED KINGDOM,TW5 9JF,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,96090 - Other service activities n.e.c.,98100 - Undifferentiated goods-producing activities of private households for own use,,,0,0,http://business.data.gov.uk/id/company/15325550,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALLEN & OVERY (KSA HOLDINGS) LIMITED,15325573,,,ONE,BISHOPS SQUARE,LONDON,,ENGLAND,E1 6AD,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,74990 - Non-trading company,,,,0,0,http://business.data.gov.uk/id/company/15325573,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALNOOR TELECOM LTD,15325820,,,67 ASH GROVE,BEVERLEY ROAD,HULL,,UNITED KINGDOM,HU5 1LT,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46900 - Non-specialised wholesale trade,47421 - Retail sale of mobile telephones,95120 - Repair of communication equipment,,0,0,http://business.data.gov.uk/id/company/15325820,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ALPHA ONE K9 LTD,15325592,,,"WHITEHALL GARDEN CENTRE, THE BUNGALOW NORTON LANE",WHITCHURCH,BRISTOL,AVON,UNITED KINGDOM,BS14 0BT,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,80100 - Private security activities,,,,0,0,http://business.data.gov.uk/id/company/15325592,,,,,,,,,,,,,,,,,,,,,17/12/2024,
